o,887,9,959,629
o,454,398,844,448
f,539,243,559,965
f,370,819,676,868
f,145,40,370,997
f,301,3,808,453
o,351,678,951,908
t,720,196,897,994
t,831,394,904,860
t,753,664,970,926
f,150,300,213,740
o,141,242,932,871
t,294,259,474,326
t,678,333,752,957
t,393,804,510,976
f,6,964,411,976
f,33,572,978,590
o,579,693,650,978
o,150,20,652,719
f,782,143,808,802
f,240,377,761,468
f,899,828,958,967
o,613,565,952,659
o,295,36,964,978
t,846,296,969,528
f,211,254,529,491
f,231,594,406,794
f,169,791,758,942
o,955,440,980,477
t,944,498,995,928
o,519,391,605,718
t,521,303,617,366
f,524,349,694,791
t,391,87,499,792
t,562,527,668,935
f,68,358,857,453
t,815,811,889,828
f,666,61,768,87
o,27,501,921,952
o,953,102,983,471
o,277,552,451,723
f,64,253,655,960
o,47,485,734,977
f,59,119,699,734
t,407,898,493,955
t,912,966,949,991
o,479,990,895,990
t,390,589,869,766
t,593,903,926,943
t,358,439,870,528
f,649,410,652,875
o,629,834,712,895
t,254,555,770,901
t,641,832,947,850
o,268,448,743,777
f,512,123,625,874
f,498,262,930,811
f,835,158,886,242
t,546,310,607,773
o,501,505,896,909
f,666,796,817,924
t,987,789,993,809
t,745,8,860,693
t,181,983,731,988
o,826,174,924,883
o,239,228,843,993
o,205,613,891,667
t,867,873,984,896
o,628,251,677,681
t,276,956,631,964
o,78,358,974,713
o,521,360,773,597
f,963,52,979,502
o,117,151,934,622
t,237,91,528,164
o,944,269,975,453
t,979,460,988,964
f,440,254,681,507
t,347,100,896,785
f,329,592,369,985
o,931,960,979,985
t,703,3,776,36
t,798,120,908,550
f,186,605,914,709
f,921,725,979,956
t,167,34,735,249
o,726,781,987,936
t,720,336,847,756
o,171,630,656,769
f,417,276,751,500
t,559,485,584,534
o,568,629,690,873
t,248,712,277,988
t,345,594,812,723
f,800,108,834,618
f,967,439,986,869
o,842,209,955,529
o,132,653,357,696
o,817,38,973,662
f,569,816,721,861
o,568,429,945,724
o,77,458,844,685
f,138,78,498,851
o,136,21,252,986
f,2,460,863,472
o,172,81,839,332
o,123,216,703,384
f,879,644,944,887
t,227,491,504,793
t,580,418,741,479
t,65,276,414,299
t,482,486,838,931
f,557,768,950,927
f,615,617,955,864
o,859,886,923,919
o,391,330,499,971
t,521,835,613,847
o,822,787,989,847
o,192,142,357,846
f,564,945,985,945
f,479,361,703,799
t,56,481,489,978
f,632,991,774,998
t,723,526,945,792
o,344,149,441,640
t,568,927,624,952
o,621,784,970,788
t,665,783,795,981
t,386,610,817,730
t,440,399,734,417
t,939,201,978,803
f,395,883,554,929
o,340,309,637,561
f,875,147,946,481
f,945,837,957,922
f,429,982,691,991
t,227,137,439,822
t,4,848,7,932
f,545,146,756,943
o,763,863,937,994
o,232,94,404,502
f,742,254,930,512
o,91,931,101,942
t,585,106,651,425
o,506,700,567,960
f,548,44,718,352
f,194,827,673,859
f,6,645,509,764
f,13,230,821,361
o,734,629,919,631
t,788,552,957,972
t,244,747,849,773
f,162,553,276,887
f,569,577,587,604
f,799,482,854,956
o,744,535,909,802
t,330,641,396,986
f,927,458,966,564
t,984,486,986,913
t,519,682,632,708
o,984,977,989,986
t,766,423,934,495
o,17,509,947,718
o,413,783,631,903
o,482,370,493,688
o,433,859,628,938
f,769,549,945,810
o,178,853,539,941
f,203,251,692,433
f,525,638,955,794
o,169,70,764,939
t,59,352,896,404
t,143,245,707,320
f,103,35,160,949
t,496,24,669,507
f,581,847,847,903
o,689,153,733,562
o,821,487,839,699
o,837,627,978,723
t,96,748,973,753
t,99,818,609,995
o,731,193,756,509
f,622,55,813,365
o,456,490,576,548
o,48,421,163,674
f,853,861,924,964
f,59,963,556,987
o,458,710,688,847
t,12,484,878,562
f,241,964,799,983
f,434,299,845,772
t,896,725,956,847
o,740,289,784,345
f,395,840,822,845
o,955,224,996,953
f,710,186,957,722
f,485,949,869,985
o,848,209,975,376
t,221,241,906,384
o,588,49,927,496
o,273,332,735,725
o,505,962,895,962
t,820,112,923,143
o,919,792,978,982
t,489,461,910,737
f,202,642,638,940
f,708,953,970,960
t,437,291,546,381
o,409,358,837,479
f,756,279,870,943
f,154,657,375,703
f,524,622,995,779
t,514,221,651,850
t,808,464,886,646
t,483,537,739,840
t,654,769,831,825
f,326,37,631,69
f,590,570,926,656
f,881,913,911,998
o,996,102,998,616
f,677,503,828,563
o,860,251,877,441
f,964,100,982,377
t,888,403,961,597
f,632,240,938,968
t,731,176,932,413
o,5,498,203,835
o,819,352,929,855
t,393,813,832,816
t,725,689,967,888
o,968,950,969,983
f,152,628,582,896
f,165,844,459,935
f,882,741,974,786
f,283,179,731,899
t,197,366,682,445
o,106,309,120,813
t,950,387,967,782
f,274,603,383,759
f,155,665,284,787
t,551,871,860,962
f,30,826,598,892
t,76,552,977,888
o,938,180,994,997
t,62,381,993,656
t,625,861,921,941
o,685,311,872,521
o,124,934,530,962
o,606,379,961,867
f,792,735,946,783
o,417,480,860,598
t,178,91,481,887
f,23,935,833,962
t,317,14,793,425
o,986,89,999,613
f,359,201,560,554
f,729,494,942,626
o,204,143,876,610
t,474,97,636,542
f,902,924,976,973
f,389,442,824,638
f,622,863,798,863
o,840,622,978,920
t,567,374,925,439
f,643,319,935,662
t,185,42,294,810
o,47,124,598,880
t,828,303,979,770
f,174,272,280,311
f,540,50,880,212
o,141,994,221,998
o,476,695,483,901
o,960,216,972,502
t,752,335,957,733
f,419,713,537,998
t,772,846,994,888
o,881,159,902,312
f,537,651,641,816
t,561,947,638,965
o,368,458,437,612
o,290,149,705,919
o,711,918,974,945
t,916,242,926,786
t,522,272,773,314
o,432,897,440,954
f,132,169,775,380
t,52,205,693,747
t,926,309,976,669
f,838,342,938,444
o,144,431,260,951
t,780,318,975,495
f,185,412,796,541
